face_name_align,gender,gender_scores_fair
000001.jpg,woman,[0. 1.]
000002.jpg,woman,[0.041 0.959]
000003.jpg,woman,[0.117 0.883]
000004.jpg,woman,[0.021 0.979]
000005.jpg,woman,[0.239 0.761]
000006.jpg,woman,[0.002 0.998]
000007.jpg,man,[1. 0.]
000008.jpg,man,[1. 0.]
000009.jpg,woman,[0. 1.]
000010.jpg,woman,[0. 1.]
000011.jpg,woman,[0.004 0.996]
000012.jpg,man,[1. 0.]
000013.jpg,man,[1. 0.]
000014.jpg,woman,[0.005 0.995]
000015.jpg,man,[1. 0.]
000016.jpg,man,[1. 0.]
000017.jpg,woman,[0. 1.]
000018.jpg,woman,[0. 1.]
000019.jpg,woman,[0. 1.]
000020.jpg,man,[0.984 0.016]
000021.jpg,man,[0.941 0.059]
000022.jpg,woman,[0. 1.]
000023.jpg,man,[1. 0.]
000024.jpg,woman,[0.006 0.994]
000025.jpg,man,[0.982 0.018]
000026.jpg,woman,[0. 1.]
000027.jpg,woman,[0. 1.]
000028.jpg,woman,[0.001 0.999]
000029.jpg,woman,[0. 1.]
000030.jpg,man,[0.95 0.05]
000031.jpg,woman,[0.297 0.703]
000032.jpg,man,[1. 0.]
000033.jpg,man,[1. 0.]
000034.jpg,woman,[0. 1.]
000035.jpg,woman,[0.007 0.993]
000036.jpg,man,[0.995 0.005]
000037.jpg,man,[1. 0.]
000038.jpg,man,[0.704 0.296]
000039.jpg,woman,[0.002 0.998]
000040.jpg,woman,[0.002 0.998]
000041.jpg,man,[0.998 0.002]
000042.jpg,woman,[0. 1.]
000043.jpg,woman,[0. 1.]
000044.jpg,woman,[0.001 0.999]
000045.jpg,woman,[0. 1.]
000046.jpg,woman,[0. 1.]
000047.jpg,woman,[0. 1.]
000048.jpg,man,[0.797 0.203]
000049.jpg,man,[0.999 0.001]
000050.jpg,man,[1. 0.]
000051.jpg,man,[1. 0.]
000052.jpg,man,[1. 0.]
000053.jpg,man,[1. 0.]
000054.jpg,woman,[0. 1.]
000055.jpg,man,[1. 0.]
